ph,Chloramines,Turbidity,Conductivity,Hardness,Potability
7.07,2.5,0.55,803.93,164.97,0
7.39,3.73,0.36,79.41,408.37,0
8.92,2.81,3.63,807.57,497.19,0
6.86,0.42,5.8,143.88,420.38,0
8.98,0.93,3.02,932.14,173.07,0
5.85,1.1,0.31,525.4,355.63,0
8.61,1.29,1.33,1093.87,266.96,0
8.89,2.83,1.47,1227.01,393.26,0
6.23,2.52,2.03,559.73,76.55,0
7.22,1.02,0.26,614.91,319.07,0
6.16,0.34,5.43,779.49,386.83,0
8.33,0.86,3.09,280.36,380.62,0
7.64,4.92,4.03,1207.71,481.8,0
8.04,2.34,0.4,579.91,29.21,0
6.29,4.34,0.32,241.86,172.89,0
6.35,4.24,3.52,998.67,238.28,0
5.67,2.56,5.32,308.32,154.88,0
6.79,3.53,3.17,212.28,154.89,1
7.74,0.96,5.27,744.85,88.06,0
8.93,3.44,4.87,882.8,406.48,0
8.17,1.36,0.46,753.34,454.03,0
7.24,4.16,1.21,863.77,41.16,0
9.31,0.42,3.95,176.72,77.45,0
8.38,3.87,2.66,634.54,114.23,1
9.22,0.5,1.74,483.41,254.49,0
7.61,4.41,2.51,1266.18,395.59,0
6.54,1.52,2.67,93.02,35.73,0
5.71,3.27,5.46,408.83,318.41,0
8.4,2.44,0.62,1226.16,74.67,0
5.99,1.83,1.68,1279.04,485.73,0
6.71,3.23,3.23,1077.63,449.39,0
7.63,4.74,4.19,126.52,474.79,0
7.76,0.21,3.78,742.92,53.08,0
7.9,4.59,5.65,538.16,244.02,0
6.17,3.05,4.77,1054.19,82.62,0
7.02,4.04,3.34,99.88,300.18,0
7.97,1.92,1.29,280.35,116.37,1
9.38,2.36,2.71,651.28,385.32,0
8.41,4.34,4.16,230.21,322,0
9.19,2.07,5.03,909.75,285.8,0
8.55,2.67,5.76,1072.37,412.61,0
7.87,0.1,3.63,924.74,250.14,0
6.27,0.79,3.16,589.16,134.93,0
8.17,3.21,0.11,1145.55,310.35,0
7.99,3.58,0.43,204.86,478.53,0
7.91,2.91,0.94,360.63,300.58,0
7.46,0.72,0.33,651.72,314.81,0
7.61,2.23,2.41,107.9,467.38,0
6.84,1.78,2.02,151.52,257.64,1
7.58,2.48,3.82,534.75,498.18,0
6.29,4.35,3.21,1228.74,79.83,0
8.72,3.88,3.58,1183.69,268.52,0
6.24,0.42,2.83,621.79,106.45,0
5.84,4.45,1.67,210.54,226.66,0
7.24,2.36,5.72,256.2,85.29,0
8.13,3.72,0.52,509.48,111.26,1
7.25,0.7,5.63,296.79,105.4,0
6.61,3.35,1.87,135.38,160.02,1
7.73,1.18,3.08,885.7,67.3,0
6.89,2.19,0.65,768.44,404.67,0
9.23,0.08,0.43,399.95,110.34,0
9.19,0.76,2.58,1019.26,208.28,0
7.51,0.46,4.45,1015.46,8.03,0
6.81,1.2,1.62,653.57,52.44,0
8.45,0.5,3.37,152.6,448.14,0
5.65,3.46,1.67,1196.46,418.58,0
7.4,0.15,2.33,879.2,420.46,0
6.85,3.09,5.44,343.75,205.68,0
9.18,0.7,5.14,805.28,70.77,0
5.55,4.73,3.1,544.38,53.95,0
7.71,4.67,1.43,836.89,302.8,0
8.46,1.13,1.16,631.82,414.1,0
7.44,3.07,5.72,646.55,450.06,0
5.84,0.14,1.22,964.57,144.37,0
9.39,4.66,4.85,809.43,160.51,0
7.57,2.61,2.21,131.54,50.44,0
7.96,0.22,5.91,113.02,387.2,0
6.45,1.71,2.21,417.36,137.85,0
7.43,0.38,2.11,576.41,240.46,1
7.22,1.96,3.82,379.53,464.45,0
5.8,3.35,5.77,857.35,376.11,0
5.92,2.35,5.86,277.79,26.37,0
8.85,1.92,4.24,924.26,4.08,0
6.46,0.6,4.53,1011.9,393.7,0
6.28,1.22,3.38,187.89,276.25,0
7.52,0.5,4.53,856.52,360.17,0
8.57,4.04,5.16,1251.02,78.41,0
5.75,0.68,2.92,274.89,436.02,0
7.81,2.98,3.72,1184.81,386.66,0
5.98,1.71,3.22,799.68,445.42,0
5.65,1.13,3.37,780.5,170.55,0
5.71,3.2,5.34,95.94,137.85,0
8.84,2.29,2.13,980.34,75.87,0
5.97,2,1.25,637.41,465.04,0
5.68,2.96,2.74,945.89,88.41,0
7.25,2.46,1.25,1057.66,59.66,0
8.88,1.52,2.99,695.22,96.34,0
6.55,2.8,5.42,364.83,385.69,0
7.19,3.35,3.7,209.8,444.76,0
5.66,0.13,5.13,233.84,405.46,0
7.3,2.33,1,1131.01,281.62,0
7.81,0.29,5.41,186.94,496.94,0
7.78,0.93,3.61,518.56,34.43,0
6.83,2.8,0.19,454.53,433.6,0
6.76,4.33,3.8,1129.13,213.86,0
5.93,4.41,5.71,636.67,227.56,0
6.97,0.35,0.48,1295.49,63.8,0
5.9,2.1,3.49,966.06,16.72,0
8.57,2.92,5.49,1110.67,158.31,0
