ph,Chloramines,Turbidity,Conductivity,Hardness,Potability
6.02,0.06,8.32,40.91,575.19,0
8.05,2.26,3.95,122.01,106.83,1
7.75,0.97,1.04,89.44,297.45,1
6.57,3.42,4.03,452.4,90.78,1
7.65,2.48,4.71,564,145.14,1
9.37,5.86,7.82,38.6,20.57,0
6.79,2.64,4.88,397.5,247.9,1
9.18,5.68,8.12,1866.57,47.83,0
9.06,4.26,5.76,1908.4,24.31,0
6.66,3.39,1.72,67.19,72.76,1
7.28,0.72,0.14,603.92,245.09,1
6.16,0.08,8.6,16.88,54.43,0
5.79,4.6,5.34,1725.94,48.37,0
5.66,0.04,9.85,1389.84,0.95,0
6.82,3.73,3.75,652.15,212.58,1
5.84,0,8.48,20.69,375.66,0
7.49,3.32,2.36,204.79,140.67,1
5.25,0,6.81,1910.89,570.03,0
5.04,0.06,6.54,1405.67,573.66,0
5.05,0.03,9.79,909.08,24.19,0
9.42,4.4,9.75,1545.74,3.53,0
6.73,3.27,4.85,774.13,66.87,1
8.39,1.99,2.66,233.22,71.82,1
5.81,0.04,6.71,839.69,500.23,0
7.98,1.15,2.21,172.3,282.45,1
8.7,4.66,6.84,1559.11,22.91,0
7.27,2.6,0.98,546.37,211.3,1
8.86,4.92,9.24,1270.63,407.47,0
6.01,4.25,9.04,18.26,541.26,0
9.31,4.78,8.31,1448.4,54.79,0
7.93,1.19,1.27,609.61,180.19,1
6.72,0.39,3.73,519.88,221.94,1
7.87,1.39,2.58,267.32,73.66,1
8.19,1.82,1.5,397.63,278.99,1
8.7,0.06,9.69,1285.49,32.93,0
8.02,2,1.55,206.07,256.95,1
9.36,0.02,8.76,14.95,541.29,0
7.27,3.87,1.26,437.76,151.59,1
7.92,0.41,4.48,578.2,217.84,1
6.08,0,9.61,1445.49,327.56,0
5.54,0.08,5.64,1495.26,34.25,0
8.12,1.58,1.72,655.49,255.06,1
5.32,0.05,6.98,1141.7,39.25,0
6.54,3.22,1.91,417.81,149.34,1
8.76,4.51,7.88,12.53,415.3,0
7.38,3.7,0.5,361.14,70.86,1
6.9,1.48,2.61,654.19,157.99,1
7.91,1.09,2.91,657.81,75.66,1
7.41,1.19,3.47,96.69,289.27,1
8.36,0.26,4.55,672.07,151.53,1
6.87,1.62,1.1,654.91,273.15,1
5.99,0.04,7.86,24.01,41.26,0
7.8,3.29,1.99,419.5,105.48,1
9.18,5.13,5.92,858.08,9.85,0
8,1.06,2.1,575.38,95.14,1
9,5.55,8.56,1233.96,439,0
7.54,3.89,4.14,546.69,273.62,1
8.98,0.05,8.33,1937.76,47.87,0
7.48,0.28,0.5,585.46,274.06,1
7.61,2.93,1.94,221.99,177.55,1
7.1,0.63,1.42,553.26,132.23,1
8.94,5.73,6.82,19.99,387.99,0
5.35,0.02,9.14,1324.23,550.08,0
8.01,0.49,2.56,364.33,258.85,1
7.79,3.74,3.9,426.72,241.06,1
8.61,0.05,5.81,1523.08,315.86,0
7.19,1.76,0.27,361.67,251.45,1
8.61,0.08,7.37,32.2,388.96,0
5.86,5.2,8.05,22.55,439.44,0
7.5,2.65,3.12,228.11,82.61,1
5.95,4.62,7.24,1129.6,305.88,0
8.34,0.74,0.48,141.68,204.63,1
7.13,1.63,0.73,162.48,123.91,1
6.8,2.01,1.88,161.31,242.47,1
8.47,3.47,2.6,86.68,179.09,1
5.4,4.98,8.65,32.07,51.58,0
8.37,0.88,4.73,53.91,226.11,1
8.84,0.04,9.66,1400.61,58.94,0
5.46,4.74,8.17,15.59,473.39,0
8.43,2.25,2,264.09,238.7,1
9.31,5.78,9.95,14.83,15.37,0
6.85,3.18,1.12,301,250.77,1
9.34,4.86,5.49,18.82,439.99,0
7.6,0.35,4.38,782.07,293.33,1
5.01,0.04,8.48,18.06,6.62,0
7.24,0.19,3.63,330.21,197.85,1
7.2,0.88,3.17,540.93,162.24,1
8.31,3.05,4.9,306.56,131.21,1
8.71,0.05,8.24,42.5,401.8,0
8.96,0.09,8.2,11.03,12.02,0
9.45,0.08,7.57,1571.33,314.02,0
5.86,0.07,9.57,848.66,433.93,0
5.55,0.04,9.39,1454.77,34.6,0
8.03,1.94,3,315.5,290.43,1
7.39,3.2,1.21,289.19,228.7,1
7.43,2.96,0.42,751.17,168.58,1
9.02,0.06,9.08,1517.98,516.39,0
9.42,0.03,5.33,1183.59,411.87,0
8.77,5.33,9.8,27.93,36.82,0
9.46,4.35,5.62,41.25,515.94,0
6.57,3.51,3.98,152.17,146.47,1
9.16,0.04,6.95,22.75,368.82,0
7.12,2.28,1.03,96.67,90.58,1
8.8,0.06,7.11,1822.55,40.55,0
5.93,4.88,8.26,1144.46,10.22,0
8.46,0.3,3.07,778.24,284.55,1
6.85,3.84,4.05,251.42,183.75,1
5.83,0.07,5.81,1641,34.5,0
9.4,5.41,8.16,956.43,33.51,0
8,3.78,3.3,599.28,150.47,1
9.15,0.06,8.18,36.4,26,0
9.49,0.01,8.5,35.09,338.01,0
6.81,1.8,2.43,109.62,280.44,1
8.12,4,3.17,332.75,251.39,1
6.38,0.04,8.14,885.89,42.12,0
6.9,2.12,0.1,288.17,124.99,1
5.64,0.01,8.31,34.3,576.42,0
7.64,2.98,3.15,185.81,116.51,1
8.38,2.1,2.33,383.25,122.6,1
7.85,3.03,0.9,384.37,81.34,1
8.79,0.02,7.19,22.2,598.65,0
6.58,2.19,0.4,703.7,205.53,1
9.16,0.04,9,1675,42.15,0
5.46,5.45,7.12,21.17,580.8,0
6.93,3.34,4.51,250.74,147.55,1
8.26,2.25,1.51,202.79,94.32,1
7.65,3.83,0.04,57.17,100.17,1
6.97,1.93,4,624.8,91.66,1
6.23,5.28,5.85,25.85,55.72,0
7.34,0.51,2.07,84.29,120.13,1
9.49,5.99,9.31,1285.81,40.53,0
6.63,0.56,0.33,622.43,103.06,1
7.73,0.62,0.61,269.01,102.95,1
5.72,0.03,6.55,1579.68,17.48,0
6.21,5.11,9.86,26.46,6.74,0
8.93,0.02,9.76,31.17,409.49,0
7.55,3.39,2.95,277.61,161.17,1
9.16,5.99,9.17,37.02,401.46,0
8.41,3.4,4.27,518.91,101.02,1
5.89,4.87,8.31,898.68,18.37,0
7.58,1.2,3.77,497.72,145.76,1
5.13,5.99,7.63,884.49,26.63,0
6.38,5.43,5.27,861.67,482.54,0
8.4,2.44,4.48,739.14,152.56,1
5.66,0.03,5.7,11.41,44.83,0
5.28,5.06,8.98,45.67,533.48,0
8.74,5.5,7.81,13.19,2.14,0
7.21,0.52,2.55,119.67,135.8,1
7.24,3.92,0.72,62.03,299.54,1
6.58,1.3,2.75,581.85,243.08,1
9.34,6,6.68,43.55,566.38,0
8.93,0.09,8.13,1022.32,458.09,0
8.15,1.49,2.44,144.48,132.06,1
8.86,0.06,6.39,18.37,21.65,0
9.18,0.05,7.08,1990.05,410.85,0
6.04,0.04,5.84,10.86,40.33,0
5.92,5.06,8.79,24.55,562.76,0
6.84,2.18,4.92,760.64,87,1
5.64,4.18,5.46,984.55,50.99,0
8.42,3.66,4.07,383.72,214.24,1
6.59,0.57,3.36,324.73,85.79,1
6.75,2.44,3.83,699.03,295.6,1
5.79,4.47,7.72,17.54,3.46,0
8.25,2.76,1.05,322.35,188.09,1
7.02,2.04,4.89,768.36,265.09,1
7.32,1.53,1.31,102.46,271.76,1
8.63,4.23,7.45,1842.33,442.78,0
9.47,0.07,6.08,1563.37,9.34,0
6.18,5.24,6.24,1333.24,42.25,0
8.31,0.28,0.56,596.53,103.95,1
7.68,2.05,2.4,478.76,68,1
5.93,4.6,8.15,42.53,1.2,0
9.2,0.02,5.71,869.7,58.83,0
9.31,0.02,6.07,25.54,30.19,0
7.28,2.45,4.4,715.36,296.02,1
7.95,1.79,1.29,540.38,206.3,1
7.87,1.82,4.57,466.73,138.55,1
