STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC  : Min,TEMPERATURE ºC  : Max,TEMPERATURE ºC  : Mean,D.O. (mg/l)  : Min  : > 4 mg/l,D.O. (mg/l)  : Max  : > 4 mg/l,D.O. (mg/l)  : Mean  : > 4 mg/l,pH  : Min  : 6.5-8.5,pH  : Max  : 6.5-8.5,pH  : Mean  : 6.5-8.5,CONDUCTIVITY (µmhos/cm)  : Min,CONDUCTIVITY (µmhos/cm)  : Max,CONDUCTIVITY (µmhos/cm)  : Mean,B.O.D. (mg/l)  : Min  : < 3 mg/l,B.O.D. (mg/l)  : Max  : < 3 mg/l,B.O.D. (mg/l)  : Mean  : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l)  : Min,NITRATE- N+ NITRITE-N (mg/l)  : Max,NITRATE- N+ NITRITE-N (mg/l)  : Mean,FECAL COLIFORM (MPN/100ml)  : Min  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Max  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Mean  : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Min  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Max  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Mean  : < 5000 MPN/100ml
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGE-U/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,24,26,25.1,5.8,7,6.6,7.4,8.2,7.8,67,134,95,3.4,7.4,4.9,0.1,0.5,0.2,5,25,16,13,80,36
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,26,30,29.6,6.2,7.8,6.9,7.5,8.2,7.9,71,196,99,4,6.4,5,0.1,1.3,0.4,4,45,15,8,95,34
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,25,33,27.4,6,7.4,6.8,7.3,8.1,7.7,72,136,85,3.8,7,5.2,0.1,0.7,0.3,5,17,11,14,35,23
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,25,33,27.8,6,7.8,6.7,7.6,8.4,7.8,71,100,80,3.6,6.4,4.9,0.1,0.6,0.3,6,21,12,12,65,29
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,24,40,30.6,3.3,6.5,5.1,7,8,7.3,146,8272,3937,5,26,10.3,0.2,9.4,1.8,4,70,31,10,200,83
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,24,29,25,4.2,7,5.6,7.2,8.3,7.9,319,567,468,2.8,5.6,3.6,0,6.5,1.9,11,140,66,100,220,164
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,24,26,25,5.9,7.5,6.4,6.9,8.6,7.6,66,3549,541,3.4,7.8,5.7,0,2.4,0.6,7,70,23,12,110,45
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,24,26,25,2.2,6.5,5.5,6.7,8.1,7.4,113,34000,6166,4,19,7.7,0.1,3.4,1.1,12,94,44,15,170,67
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,25,26,25.3,3,6.5,5.3,7.2,8,7.7,127,48740,24062,4,33,9.9,0.2,2.3,1.2,14,550,156,25,900,304
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATION-SWEET ZONE), ROHA",MAHARASHTRA,24,26,25.1,6.2,7.2,6.7,7,8,7.6,65,103,83,3.6,6.4,4.8,0,0.5,0.2,4,110,28,8,350,76
