STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC  : Min,TEMPERATURE ºC  : Max,TEMPERATURE ºC  : Mean,D.O. (mg/l)  : Min  : > 4 mg/l,D.O. (mg/l)  : Max  : > 4 mg/l,D.O. (mg/l)  : Mean  : > 4 mg/l,pH  : Min  : 6.5-8.5,pH  : Max  : 6.5-8.5,pH  : Mean  : 6.5-8.5,CONDUCTIVITY (µmhos/cm)  : Min,CONDUCTIVITY (µmhos/cm)  : Max,CONDUCTIVITY (µmhos/cm)  : Mean,B.O.D. (mg/l)  : Min  : < 3 mg/l,B.O.D. (mg/l)  : Max  : < 3 mg/l,B.O.D. (mg/l)  : Mean  : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l)  : Min,NITRATE- N+ NITRITE-N (mg/l)  : Max,NITRATE- N+ NITRITE-N (mg/l)  : Mean,FECAL COLIFORM (MPN/100ml)  : Min  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Max  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Mean  : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Min  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Max  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Mean  : < 5000 MPN/100ml
1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD,MAHARASHTRA",MAHARASHTRA,25,30,28.6,6,7.3,6.8,7.4,8.9,8.3,638,1026,813,2,5,3.3,0.1,0.4,0.2,2,4,3,70,220,109
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,18,27,22.4,4.7,6.7,6,7.3,8.7,8.1,191,442,331,2.2,10,3.8,0.1,2.5,0.7,10,110,56,60,280,167
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,18,29,21.6,1.4,5.7,4.3,7,8.2,7.7,144,401,271,2.4,10,5.4,0.2,4.7,1.7,11,90,47,50,220,137
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,18,27,22,3.2,6.5,4.9,7.3,8.4,7.8,220,551,396,2.4,9,4.1,0,2.3,0.7,11,110,53,50,300,163
2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,18,30,21.9,3,5.5,4.5,7.4,8.2,7.8,231,380,290,2.2,10,5.5,0.3,4.1,1.7,9,110,48,50,310,137
2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.",MAHARASHTRA,18,27,22.4,1.8,6.2,4.7,7.1,8.2,7.7,348,645,502,2.4,16,7.7,0.1,2.8,1,16,170,104,130,350,253
2180,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA,18,27,23,2.4,6,4.7,7.4,8.2,7.7,341,632,472,2.4,25,7.1,0.1,2.5,0.9,11,170,87,110,300,223
1096,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA,18,27,22.6,2.2,6.2,4.5,7.3,8.3,7.9,209,542,411,2.4,5.4,3.6,0.55,3.315,1.1,16,190,58,60,300,136
1211,"GODAVARI AT NASIK D/S, MAHARASHTRA",MAHARASHTRA,18,27,22.7,3.2,6.5,4.9,7.2,8,7.6,321,576,461,2.8,6,3.6,0.236,3.317,0.9,13,170,89,110,350,224
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK,MAHARASHTRA",MAHARASHTRA,18,27,22.3,4.3,7.1,5.7,7.8,8.5,8.1,139,534,275,2.2,4.2,3.2,0.017,2.27,0.8,11,60,31,17,170,98
